idHandschrift,CensusCat,Bibliothek,Signatur,Art,Herkunft,Datierung,Inhalt,DIAMM_Online,Verloren,Notizen,genutzt
2030,HRadKM 7,10009,II A 7,7003,6012,8415,"4 Kyrie-Gloria-Credo-Sanctus Masses, 1 Kyrie-Gloria-Credo Mass, 10 Credo-Sanctus pairs, 2 Kyries, 3 Glorias, 12 Credos, 18 Sanctus (some of the preceding have texts which are partly in Czech), 2 Mass Proper cycles (1 with Kyrie and Sanctus), 139 motets, 5 Czech sacred pieces, 5 textless pieces = 201",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=976,0,Sent as gift to [Church of?] St. Peter´s [Chains?] by Michal Murati in 1611 (inscription inside front cover).,1
2031,BerlPS 40634,10061,MS Mus. 40634,7005,6022,8409,21 Masses,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1576,0,"Of German origin; perhaps copied in Stuttgart or vicinity. Owned by the musicologist and collector Werner Wolffheim (1877-1930). Offered for sale at 1929 auction of Wolffheim´s library, conducted by Breslauer &amp; Liepmannssohn Antiquariat, Berlin; subsequently purchased by Preussische Staatsbibliothek, Berlin.",1
2032,BerlS 40091,10011,MS Mus. 40091,7005,6081,8375,8 Masses,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1582,0,Probably copied for the Church of San Luigi dei Francesi in Rome.,1
2033,BerlPS 40013,10061,MS Mus. 40013,7003,6102,8397,"3 Masses, 3 Kyrie-Gloria pairs, 1 Sanctus-Agnus pair, 4 Kyries, 1 Credo, 22 Mass Proper sections, 16 Magnificats, 1 Te Deum, 1 canticle, 7 office hymns, 1 processional hymn, 3 Passions (2 in German), 38 Motets, 2 sets of responses, 1 Benedicamus domino, 4 Latin/German sacred pieces, 21 German sacred pieces = 129",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1564,1,"Copied at Torgau, under the supervision of Walter, for use of the Pfarrkirche",1
2034,BerlS 40021,10011,MS Mus. 40021,7004,6036,8345,"15 Masses, 1 Kyrie, 1 Gloria, 10 Mass Proper sections, 11 Magnificats, 1 Te Deum, 1 Canticle, 20 office hymns, 6 processional hymns, 1 set of responses, 1 Latin/German sacred piece, 58 motets, 6 German sacred pieces, 1 German secular piece, 18 textless pieces = 151",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1579,0,"The exact place of origin of this choirbook has not yet been convincingly established. Fétis discovered the manuscript in 1849 at the cathedral in Halberstadt, and it has been assumed that it originated there. EhmA, however, suggested that the manuscript was copied in Torgau, and later sent to Halberstadt. JustM suggests Leipzig as the place of origin. The former Preussische Staatsbibliothek acquired the manuscript from Butsch Antiquariat in Augsburg; after World War II, it was moved to its present location at the West Berlin library.",1
2035,HerdF 9821,10017,9821,7004,6020,8399,"3 Masses (incomplete; each has Kyrie + 1 or more additional sections), 1 Kyrie-Gloria Mass, 2 Kyrie-Sanctus Masses, 2 Kyries, 1 Mass Ordinary section, 12 motets, 4 French secular pieces, 2 Dutch secular pieces = 27",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2956,0,Probably of German origin.,1
2036,EisS s.s.,10013,s.s. (Eisenacher Cantorenbuch),7003,6023,8419,"3 Kyrie-Gloria pairs, 1 Sanctus-Agnus pair, 2 Kyries, 1 Gloria, 1 Sanctus, 20 Mass Proper sections, 7 Magnificats, 1 canticle, 2 psalms, 4 office hymns, 1 processional hymn, 1 Passion, 13 motets, 2 Latin/German sacred pieces, 1 set of responses, 1 Benedicamus domino = 61",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1138,0,,1
2037,JenaU 7,10018,7,7005,6025,8264,7 Masses,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1223,0,http://archive.thulb.uni-jena.de/hisbest/receive/HisBest_cbu_00014321,1
2038,JenaU 36,10018,36,7005,6060,8425,"7 Masses, 2 Credos = 9",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1236,0,http://archive.thulb.uni-jena.de/hisbest/receive/HisBest_cbu_00014290,1
2039,JenaU 22,10018,22,7005,6025,8356,"13 Masses, 1 Kyrie = 14",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1229,0,http://archive.thulb.uni-jena.de/hisbest/receive/HisBest_cbu_00014267,1
2040,JenaU 3,10018,3,7005,6025,8433,8 Masses,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1220,0,http://archive.thulb.uni-jena.de/hisbest/receive/HisBest_cbu_00014218,1
2041,JenaU 32,10018,32,7005,6098,8353,"15 Masses, 1 Credo = 16",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1232,0,http://archive.thulb.uni-jena.de/hisbest/receive/HisBest_cbu_00014283,1
2042,JenaU 31,10018,31,7005,6098,8227,4 Messen (Ordinaria),http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1231,0,http://archive.thulb.uni-jena.de/hisbest/receive/HisBest_cbu_00014279,1
2043,DresSL Pirna IV,10012,Pirna 4,7003,6077,,"4 Masses, 6 Mass Proper sections, 7 motets = 17",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1749,0,"Kopiert für die Stadtkirche St. Marien in Pirna; Galt lange als während des WWK2 verschollen, überlebte aber schwer beschädigt",1
2044,DresSL 1/D/506,10012,1/D/506 (auch als Annaberg 1126),7003,6110,8389,"5 Masses, 10 Kyries, 7 Glorias, 3 Credos, 6 Sanctus, 7 Agnus, 73 Mass Proper sections, 8 Magnificats, 38 hymns, 4 motets, 1 textless piece = 162",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1714,0,Probably copied in Wittenberg or vicinity; later taken to Annaberg and used at Church of St. Anne (SteudeUM),1
2045,DresSL 1/D/505,10012,1/D/505,7003,6110,8265,"8 Masses, 3 Kyries, 2 Glorias, 1 Credo, 1 Agnus, 93 Mass Proper sections, 5 Magnificats, 2 Te Deums, 2 psalms, 10 hymns, 1 Pas-sion, 34 motets, 1 German sacred piece, 3 textless pieces = 166",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1713,0,Probably copied in Wittenberg or vicinity; later taken to Annaberg and used at Church of St. Anne (SteudeUM),1
2046,DresSL 1/E/24,10012,1/E/24,7003,6059,8327,"1 Kyrie-Gloria pair, 2 Sanctus, 17 Mass Proper sections, 1 Magnificat, 4 office hymns, 1 processional hymn, 14 motets, 8 Latin/ German sacred pieces, 12 German sacred pieces = 60",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1715,0,,1
2047,DresSL Grimma 52,10012,Grimma 52,7004,6014,8324,"Part I: 47 German secular pieces, copied from RISM 1607/25. Part II: 9 motets, 2 German sacred pieces, 1 Italian secular piece = 12. Part III: 3 motets, 2 German sacred pieces, 22 Italian secular pieces (textless in this source), copied from the print RISM M584 = 27+1 duplicate = 28. Part IV: 20 textless pieces. Total for manuscript = 106 + 1 duplicate = 107",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1725,0,"Erster Besitzer war Clemens Haineck aus Borna, der das Ms seinem Sohn Martin gab, Rektor der Fürstenschule St. Augustin in Grimma 1588-1610, nach dessen Tod kam es in die dortige Bibl.",1
2048,DresSL Grimma 53,10012,Grimma 53,7003,6058,8405,"1 Mass, 2 Kyrie-Gloria pairs, 1 Kyrie, 1 Sanctus, 4 Mass Proper sections, 1 Te Deum, 1 Canticle, 2 hymns, 14 motets, 3 German sacred pieces = 30",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1726,0,"Kopiert in der Fürstenschule St. Afra in Meissen, unter Wolfgang Figulis, nach 1588 an Friedrich Birck den Kantor der Schule St. Augustin in Grimma",1
2049,DresSL Grimma 59a,10012,Grimma 59a,7003,6058,8404,"1 Mass, 1 hymn, 16 motets, 1 German sacred piece = 19",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1733,0,"Kopiert in der Fürstenschule St. Afra in Meissen, unter Wolfgang Figulis, nach 1588 an Friedrich Birck den Kantor der Schule St. Augustin in Grimma",1
2050,FrankSU 2,10014,Mus. fol. 2,7005,6033,8368,10 Messen,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1139,0,"characteristic German choirbook format (Rifkin). Probably brought to Frankfurt on some ceremonial occasion, such as the visit of a king or emperor (HoffM). &nbsp;(Ähnlichkeit mit Mss. in Jena)",1
2051,GreifU 640-1,10015,640-641 (olim Eb133),7004,6007,8394,"2 Kyries, 2 Mass Ordinary sections, 5 Mass Proper sections, 3 Te Deums, 1 psalm, 7 hymns, 2 Passions, 32 motets (1 incomplete), 17 German sacred pieces, 1 German secular piece = 72",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1143,0,"Original owner and main scribe was Joannes Soldeke, a minister in Barth, who purchased printed partbooks in 1539 (inscription inside front cover of B book). Following Soldeke´s death (1588), his widow gave partbooks to Michael Froboese, of Wolgast. Froboese donated manuscript to city library in Wolgast, whose holdings later were incorporated in the Universitätsbibliothek in nearby Greifswald.",1
2052,LeipU 49,10019,Thomaskirche 49 (1-4),7004,6049,8402,"15 Mass Ordinary cycles (some with Proper sections), 1 Mass Ordinary section, 4 Mass Proper cycles, 39 Mass Proper sections, 18 Magnificats, 2 Te Deums, 1 canticle, 8 office hymns, 3 processional hymns, 1 set of Lamentations, 3 Passions (2 in German), 129 motets, 2 sets of responses, 4 Latin/German sacred pieces, 10 German sacred pieces, 1 German secular piece, 1 Italian secular piece, 1 set of textless canons (in MS 50 only) = 243 + 11 pieces copied twice = 254",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1151,0,"Copied in Leipzig, perhaps under the direction of Melchior Heger (1522-68), cantor at the St. Thomaskirche. Remained in library of Thomaskirche until 1930,",1
2053,LeipU 51,10019,Thomaskirche 51 (1-2),7004,6049,8401,"20 Masses, 1 Te Deum, 58 motets, 1 German sacred piece, 1 Latin/Italian secular piece (= Josquin´s ""In te domine speravi,"" with Latin psalm text only in this source), 19 pieces with Latin texts in classical meters (Horatian odes, etc.), 1 textless piece = 101",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1864,0,"Copied in Leipzig, perhaps under the direction of Melchior Heger (1522-68), cantor at the St. Thomaskirche. Remained in library of Thomaskirche until 1930,",1
2054,LeipU 1494,10019,1494,7004,6049,8350,"8 Masses, 2 Kyries, 1 Credo fragment, 1 Agnus, 8 Mass Proper sections, 3 Magnificats, 1 Te Deum, 5 psalms, 47 office hymns, 4 processional hymns, 46 motets, 2 responses, 5 German sacred pieces, 2 motet-chansons, 5 German secular pieces, 2 Italian secular pieces, 21 textless pieces = 163 + 15 duplicates = 178",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1866,0,"Possibly copied in Leipzig. According to inscription inside back cover, manuscript was bound in Leipzig on September 1, 1504, at the behest of Nikolaus Apel (ca. 1470-1537).",1
2055,MunBS 65,10020,Mus. Ms. 65,7005,6005,8381,"6 Masses, 2 Requiem Masses, 1 Credo = 9",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2207,0,"Perhaps copied in Augsburg (BenteNW); copied in Munich (RifRM), for use at the court of Wilhelm IV, Duke of Bavaria (1493-1550). Kept in Munich Hofkapelle library until end of 18th century",1
2056,MunBS 3154,10020,Mus. Ms. 3154,7004,6040,8339,"22 Masses, 1 Kyrie-Gloria pair, 1 Sanctus-Agnus pair, 6 Kyries, 1 Gloria, 2 Credos, 1 Sanctus, 1 Agnus, 33 Mass Proper sections, 11 Magnificats, 1 psalm, 10 hymns, 2 motet cycles (substitutes for Mass Ordinary sections), 64 motets, 7 German secular pieces, 1 Dutch secular piece, 20 textless pieces, 3 unidentified fragments = 187+4 duplicates = 191",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=797,0,"Probably copied in Innsbruck (and Augsburg?), perhaps by scribes associated with imperial court chapel. Several fascicles, possibly entire manuscript, once owned by Nikolaus Leopold of Innsbruck (later of Brescia), whose name appears on several folios (see FässNL for biographical details)",1
2057,MunBS C,10020,Mus. Ms. C,7005,6062,8301,"6 Masses, 1 Requiem Mass, 1 motet (later addition), 1 German sacred piece (later addition) = 9",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2226,0,"Probably commissioned by the Palatine count Ottheinrich (or by Wilhelm IV, Duke of Bavaria), in memory of Ottheinrich´s wife Susanna (a sister to Wilhelm), who died in 1543. Manuscript included in 1544 inventory of music used by Ottheinrich´s chapel at Neuburg (see HeidU 318)",1
2058,MunBS 510,10020,Mus. Ms. 510,7005,6005,8269,8 Masses,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2212,0,"Possibly copied in Augsburg (BenteNW); copied in Munich (RifRM). Apparently intended for Cardinal Matthaeus Lang (Archbishop of Salzburg 1519-40), but probably never presented",1
2059,MunU 239,10021,MS 2° Art. 239,7004,6009,,"2 Masses, 1 Mass Proper section, 1 hymn, 1 motet, 1 French secular piece (without text) = 6",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2011,0,"Copied in Basel, probably by students of the humanist and theorist Heinrich Glareanus (1488-1563).",1
2060,NurGN 83795,10022,83795,7003,6102,8393,"6 Masses, 7 Kyrie-Gloria pairs, 1 Kyrie, 1 Credo, 19 Mass Proper sections, 17 Magnificats, 1 Te Deum, 8 office hymns, I processional hymn, 1 Latin Passion, 2 German Passions, 50 motets, 3 Latin/German sacred pieces, 25 German sacred pieces = 142 + 1 duplicate = 143",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2258,0,"Copied in Torgau, under direction of Johann Walter, for use in Pfarrkirche or Schlosskirche. Subsequent history unknown until 19th century",1
2061,RosU 40,10023,Saec. XVI-40,7005,6082,8422,"1 plenary Mass, 17 Masses, 2 Kyrie-Gloria pairs, 1 German Credo = 21",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2450,0,Probably copied in Rostock.,1
2062,RosU 49,10023,Saec. XVI-49,7003,6037,8325,"25 Masses, 32 Mass Proper sections, 24 Magnificats (2 with Latin or German tropes), 8 Te Deums (1 in German), 23 psalms, 43 hymns, 1 Passion, 37 motets, 4 sets of responses, 7 Benedicamus dominos = 204",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2463,0,"Compiled by Jacob Praetorius I, organist at churches of St. Gertrud and St. Jacob in Hamburg from 1555 until his death in 1586; dedication to Johann Albrecht I (1525-76), Duke of Mecklenburg-Schwerin, and to Johann´s brother, Duke Ulrich III (1527-1603).",1
2063,RegB B220-2,10024,B 220-2,7004,6084,8418,"7 Mass Ordinary sections, 43 motets, 1 Latin secular piece = 51",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2429,0,Perhaps copied in Salzburg; possibly associated with the schoolmaster and composer Johannes Stomius (1502-62).,1
2064,RegB C100,10024,C 100,7005,6079,8320,"12 Masses, 8 Mass Proper sections = 20",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2434,0,1560 (dated preface). Copied in Regensburg.,1
2065,StuttL 46,10025,46,7005,6096,8290,4 Masses,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2542,0,"Copied in Stuttgart, for use by court chapel of Ulrich, Duke of Württemberg (1487-1550).",1
2066,StuttL 47,10025,47,7003,6096,8257,Ordinariumszyklen und Motetten,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=3843,0,"Die Hs wurde _Dr Ernst Kyriss hat diese Ergebnis bestätigt; von dem Nachfolger des Johannes Ωoll in Tübingen gebunden. Johannes Zoll ist als Buchbinder in Tübingen bis zum Jahre 1501 nachweisbar, später scheint er als Sortimentbuchhändler tätig gewen zu sein. Die Werkstatt ging an einen bisher nicht identifiierten Nachfolger uuber (vgl. Kyriss I, 57f). Nach Auskunft von Gerhard Piccard können für die beiden Wasswezeichen der Hs folgende Nachweise erbracht werden: Wz1 (Krone) 1492-1508 in Nürnberg, Würzburg und Köln; Wz 2 (Ochsenkopf) um 1500 in Innsbruck, München und Nünberg. Es kann damit als sicher gelten, daß diese Hs zu den ersten Codices gehört, die für die 1507 gegründete hofkapelle angelegt wurden (vgl.Bossert I, 391 ff).",1
2067,StuttL HB 26,10025,"HB XVII, 26",7006,6011,8403,"Treatise on music, with polyphonic examples: 5 Mass Ordinary sections (without text), 1 hymn, 1 motet, 1 German secular piece (without text), 46 textless pieces = 54",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2543,0,Ca. 1560 (GottHH). Copied in Bavaria (GottHH).,1
2068,StuttL 44,10025,44,7005,6096,8395,5 Masses (1 incomplete),http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2540,0,"Copied in Stuttgart, for use by court chapel of Ulrich, Duke of Württemberg (1487-1550).",1
2069,WolfA A,10027,A Augusteus 2°,7005,6062,8278,"6 Masses, 1 Requiem Mass = 7",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2690,0,"Copied in Munich, for use at court of Wilhelm IV, Duke of Bavaria (1493-1550). Removed from Munich by Swedish armies in 1631. Acquired in 1653 by August the Younger, Duke of Braunschweig-Lüneburg-Wolfenbüttel (1579-1666), from Georg Forstenheuser, of Nuremberg.",1
